comments,title,genre,artist,duration
0.0,Passing,rock,Linnus,09:27
0.0,Bach Organ Works: Clavierübung III,classical,James Kibbie,09:27
0.0,5hit Hop Ninja Terminatorz - Ded Kandi Shit Hed,hiphop,The G.O.V.E.R.N.M.E.N.T/5hit Hop Ninja Terminatorz,09:26
0.0,Mist Of Fetor Is My Perfume,rock,AmortE,09:25
0.0,Sasha Cooke & Pei-Yao Wang: Music from the Isabella Stewart Gardner Museum,classical,"Sasha Cooke, mezzo-soprano; Pei-Yao Wang, piano",09:25
0.0,Just Deserts,rock,El Jesus De Magico,09:25
0.0,Les Poivrons Rouges sur le Visage,pop,les Poivrons Rouges sur le Visage,09:24
0.0,Kubark,rock,Kubark,09:24
0.0,Live Crust,rock,Chat Logs,09:24
0.0,Tra La La La Phooey!,rock,R. Stevie Moore,09:23
0.0,Come Realtà,rock,Sinapsi,09:19
0.0,Newtown Radio Sessions,rock,La Big Vic,09:18
2.0,The Open Goldberg Variations,classical,Kimiko Ishizaka,09:18
0.0,Isha Ashi,jazz,Horiso,09:18
0.0,I Fly I Watch I Kill I Eat I Make No Noise,rock,Life Of An Owl In Alaska,09:16
0.0,"Bach Organ Works: Fantasias and Fugues, Toccatas and Fugues",classical,James Kibbie,09:16
0.0,Songs for Slaughter,jazz,Sonic Suicide Squad,09:14
0.0,Last Night When I Tried to Sleep I Felt The Ocean With My Fingertips,rock,Amit Erez,09:13
0.0,"That night, a forest grew",rock,Aldaraia,09:12
0.0,Only steps away,rock,Aldaraia,09:12
1.0,The Saltire Wave,rock,Downliners Sekt,09:12
0.0,From Pix To G,rock,Achievements,09:11
0.0,Wooden Shjips ATP NY 2010,rock,Wooden Shjips,09:10
0.0,Povratak u realno,rock,Ljudske Potrebe,09:09
0.0,"Live at WFMU on Diane's Kamikaze Fun Machine, March 29th 2011",rock,Batillus,09:09
0.0,"Live at WFMU on Liz Berg's Show on August, 22 2011",rock,voyageurs,09:08
0.0,"Live at WFMU on Talk's Cheap, April 26th 2012",rock,Disappears,09:08
0.0,Uncontrollable Mumbles,rock,Aviv Mark,09:08
0.0,Boston Hassle Listening Party / Podcast - Skyjelly,rock,Skyjelly,09:07
0.0,"I Am Mortal, But Was Fiend",rock,Sioum,09:04
0.0,Live at Pacific Parc 17/01/2009,rock,Bonaparte,09:04
0.0,Live at WFMU on Pat Duncan's Show 5/14/09,rock,Sea Monster,09:04
0.0,Live at WFMU on Mike's Show on 7/11/2002,hiphop,Dälek,09:04
0.0,"Live on WFMU with Marty McSorley, 8/12/2016",rock,Pill,09:04
0.0,Live on BSR on 7/7/13,rock,Hector 3,09:04
0.0,"Platters, Act 4: A Suite For John M",hiphop,Tha Silent Partner,09:04
0.0,coup de grace,rock,Gerbil Church,09:03
0.0,Mayor Daley EP,rock,Mayor Daley,09:02
0.0,Elixir of Terpene Chloral Hydrate CV,rock,Disco Missile,09:02
0.0,"Live at AS220, 1-29-2011",rock,Olneyville Sound System,09:02
1.0,Sr. Cisne,rock,Mario Garcia,09:01
0.0,"Live on WFMU with Liz Berg: Jan 19, 2016",rock,Taiwan Housing Project,08:59
0.0,Live on WFMU's The Evan Funk Davies Show 12/08/10,rock,The Sights,08:56
0.0,L'Ultima Ora,rock,Aching Beauty,08:52
0.0,"Live on WFMU from Beerland, Austin TX 3/17/2012",rock,Death of Samantha,08:51
-1.0,"Live at WFMU on Brian Turner's Show, April 19th 2011",rock,Blank Realm,08:50
0.0,"Live at WFMU on Talk's Cheap, July 28th 2011",rock,The Paperhead,08:49
0.0,Live at WFMU on Marty McSorley's Show 5/6/09,rock,Soft Circle,08:49
0.0,"Live at WFMU on What Was Music? with Marcel M, 10/19/16",rock,Conduit,08:49
0.0,Live at Le Club Suburbia,rock,Tar...Feathers,08:49
0.0,Live at WFMU on The Cherry Blossom Clinic April 21st 2012,rock,Freakapuss,08:47
0.0,Vazio,rock,E A Terra Nunca Me Pareceu Tão Distante,08:46
0.0,Bach Organ Works: Individual Chorale Preludes,classical,James Kibbie,08:46
0.0,The Jazz Farm,jazz,Oprachina,08:46
0.0,The Refreshingly Hothouse Porch,rock,Sick To The Back Teeth,08:45
0.0,Bad Panda #86,rock,The Great Wilderness,08:44
0.0,Drink the Sun,rock,Eidetic Seeing,08:44
0.0,Cunt Tree Grammer,rock,Angels in America,08:43
0.0,"Live on WFMU's Dark Night of the Soul with Julie - July 4th, 2013",rock,Lorelle Meets The Obsolete,08:42
1.0,Classical Sampler,classical,Kevin MacLeod,08:41
0.0,64.Antes del Fin,jazz,Milton Arias,08:41
0.0,ZAPLEŠIMO GREŠNICI,rock,BRIGAND,08:40
0.0,Mjollnir,rock,Hox Vox,08:40
0.0,Farewell (The Damaged One),rock,Nattbussen,08:40
0.0,Moves Upon Silence,classical,George Cacioppo,08:39
0.0,We Speak Etruscan,classical,Lee Hyla,08:39
0.0,Bach Organ Works: Concerti,classical,James Kibbie,08:39
0.0,Daleko Je Vavilon,rock,BRIGAND,08:36
0.0,Beethoven's Sonata No. 5 in C Minor,classical,Daniel Veesey,08:34
0.0,Weight,jazz,Yoni Kretzmer 2Bass Quartet,08:34
0.0,Dissembler,pop,alright lover,08:34
0.0,Archetypes,rock,William Hellfire,08:33
0.0,Sí San José,rock,The Great Wilderness,08:33
0.0,2012,rock,Vampire Lezbos,08:32
0.0,Streets,jazz,Charles Gayle Trio,08:32
0.0,the ATTIC TEDland suite,pop,Attic Ted,08:31
