id,title,artist,duration,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
2,Food,AWOL,2:48,660984.0,0.39700258,0.08656522,0.14521508,0.0062319376,3056.587897381012,994946.7134345013,2709.765901073987,129325.85958345523,6253.7692589320295,2312932.179055779,0.16440554499903176,0.008824256440000268,0.00017195156,0.00430758,0.00014122756,0.017082103,161.4990234375,-66.780685,2924.2427,64.2618,928.4551,-9.776764,520.8808,11.287591,313.2211,-2.4191437,307.51526,9.037897,191.22366,-1.113319,156.62065,4.5498395,88.4903,-5.3051214,105.43607,0.2445274,76.149506,-9.495332,91.759674,2.5823383,111.36712,-2.2036319,77.574715,7.398252,61.442802,-2.5230405,53.379307,0.48562786,50.026016,-7.729595,53.419006,-2.777132,52.274563,-2.2285872,51.76859,-0.60578,40.535164
5,This World,AWOL,3:26,661500.0,0.4245242,0.09108736,0.14882772,0.0065611824,2430.605884792387,771501.3976809424,2617.823601598127,165595.3765207262,5471.241916148655,2573716.7242883844,0.1006059676131966,0.004520726430130336,-9.5289884e-05,0.008597634,0.00015590363,0.011129282,99.38401442307692,-105.96389,2212.7825,86.369484,848.41797,13.001237,458.28247,23.292448,316.5196,-0.1442283,276.14597,11.994685,184.87885,-4.7145805,134.87737,16.547112,100.99124,-5.4261985,96.08429,-0.89085764,103.30851,-1.0339828,98.43297,8.075075,73.164604,4.2150683,90.0948,6.5388465,56.399628,0.96851134,54.0595,0.1987762,65.98188,-3.4022307,45.029514,-1.2829374,43.984154,-0.92046684,65.418465,0.6755628,64.49172
10,Freeway,Kurt Vile,2:41,660984.0,0.39768952,0.072116226,0.188172,0.002018345,2358.1292011631376,146100.9721360866,2065.0255745979744,120707.41384140322,4332.368716262829,719783.3679834045,0.1489473397560031,0.0008023925539223274,3.5347243e-06,0.019004246,2.4224892e-05,0.009861961,112.34714673913044,-16.811268,830.6075,93.61206,422.73846,-47.824642,310.39984,31.577908,137.37834,-3.7626708,126.164986,1.410515,59.592842,-1.5081638,65.46782,1.8848594,56.5609,-4.5226245,58.76548,-0.24713916,43.783924,-8.496406,48.024586,1.502116,35.348724,-5.694397,36.71768,1.9545956,30.905125,-4.378735,32.788784,-1.5836321,42.56939,-2.5199113,32.85253,2.3816586,40.328094,-0.38851425,30.33829,3.2400765,29.652105
140,Queen Of The Wires,Alec K. Redfearn & the Eyesores,4:13,660984.0,0.29550892,0.09624817,0.069201976,0.0014479543,1765.8778647991437,1073297.3793046311,2509.613914559342,340432.02486923727,3918.6343215954203,6079746.415501278,0.04452512284566228,0.002744631955037409,9.384155e-07,0.0047497856,8.727667e-06,0.0005651128,107.666015625,-278.15317,7364.7573,100.80628,1281.5546,37.054443,471.2675,34.905197,241.79115,26.752947,196.56657,11.046149,253.54587,10.796271,117.322784,4.900579,101.15525,1.3271267,95.39266,6.3920817,115.05324,-4.154795,86.15512,-2.221083,61.754818,-6.2303433,67.313324,2.2952273,62.518517,-7.6948237,52.37854,0.6682844,43.463036,-4.6666045,37.882225,-1.3040389,39.118988,-5.8084574,46.509857,-1.689098,44.18244
141,Ohio,Alec K. Redfearn & the Eyesores,3:02,660984.0,0.26257223,0.09056574,0.101314954,0.006112613,1666.7029226446425,655773.8765777865,2056.0623827476034,305826.7240690972,3338.5972144897364,2831786.1385167446,0.06203100793958172,0.002735211992389878,-4.934904e-06,0.01258902,5.704269e-06,0.0016375781,117.45383522727273,-208.30751,12917.951,116.0464,1218.9431,-1.2435427,275.5968,25.51324,254.1142,10.181234,199.00607,-4.65922,198.87611,7.7454886,151.99863,-5.5911283,98.84252,0.43591166,82.94559,1.7552578,60.59173,-2.862807,68.20492,-3.8659,77.796974,-4.3673162,54.72122,2.6990633,73.257034,-1.6625303,89.48829,4.6665306,95.04839,0.2691273,92.13642,2.6918666,60.974354,-8.287061,68.1051,-1.4948639,89.3693
148,Blackout 2,Contradiction,2:18,660984.0,0.33206522,0.08608892,0.47952604,0.0036848357,1711.4343521299181,294965.94143239787,1887.7224980596263,240607.03368079613,3551.685856258472,2254036.2431079717,0.08824236904531371,0.0015805534120166575,-0.0008198555,0.16610664,-0.006698232,0.023331331,117.45383522727273,8.258978,1517.6556,126.0509,1125.5284,-27.990765,615.96246,30.939363,154.48776,12.6479,130.88232,12.14672,69.88146,-1.5545101,91.49139,13.965467,130.81412,-0.3987481,77.3846,8.167109,95.92563,0.15682414,102.77706,6.457279,87.58598,0.46039012,56.22735,10.214653,54.13427,6.677004,40.81735,5.6699657,22.246727,-0.5676923,30.037489,7.7726645,67.60058,8.852753,55.145683,4.258811,62.03057
182,Jules Lost His Jewels,Ariel Pink's Haunted Graffiti,3:48,661500.0,0.36949834,0.08547409,0.27515012,0.00061422,1877.1871374639036,130648.48640218693,1750.575012389245,74973.02435553294,3949.8761156395126,650742.2061891318,0.10063053284636223,0.0006402729507773685,-8.179527e-07,0.045807205,-1.7523043e-05,0.008857304,143.5546875,-26.003973,664.8015,136.47473,621.7331,-60.45976,366.44962,43.27608,91.42154,-37.124542,83.61252,32.307117,132.81738,-4.2523293,86.869736,13.669044,71.65635,12.085604,64.44692,7.212848,53.375084,12.300184,48.338173,12.2624035,42.27668,3.3637664,43.991554,11.381411,37.223133,-2.697564,47.80123,1.6521425,39.859695,0.04989539,42.543953,-2.037829,45.38188,-0.6330059,50.23262,-1.732793,49.00853
190,Castle Of Stars,Ed Askew,4:09,661500.0,0.2449761,0.085131615,0.1329708,0.00423858,1907.6431864953875,501998.9198786665,2031.464744851673,130672.52180209714,3729.969112053744,1717627.5659610576,0.08855237458881579,0.002280315735430637,4.0308546e-06,0.016262297,-4.770057e-06,0.0021347948,103.359375,-139.51228,2643.73,96.5826,621.8456,-22.870277,262.41483,25.579062,334.47568,-7.452907,89.42136,-3.787984,110.139244,-21.778881,93.02389,-7.033452,53.559875,-19.863571,117.1981,-6.059109,80.5342,-16.007341,68.0636,-5.302088,82.62321,-8.182251,95.31868,-6.6498995,91.25101,-7.654143,106.995285,-9.238654,91.72603,-8.694786,80.1707,-2.4694254,100.08275,-5.8481197,97.565895,-8.487758,96.94145
193,Here With You,Ed Askew,4:14,660984.0,0.33568335,0.081485495,0.08332119,0.0018860116,1588.0792814697415,393661.62929159123,1761.6712869687838,177048.96500988276,3213.27597383932,1669458.89027275,0.0772376972792409,0.0014413425957943132,1.969099e-05,0.0071418425,2.7336828e-05,0.0006075754,95.703125,-198.01874,10103.109,120.317375,1111.0812,-29.394861,244.89262,35.39438,223.44186,-10.064501,90.61188,4.930168,59.17109,-13.594505,132.14774,-5.610517,49.958023,-16.011976,63.549927,-8.161907,73.8448,-11.371818,56.628754,-5.3573174,64.79373,-7.500236,67.5268,-7.435899,52.837124,-13.542115,70.67078,-8.798376,69.81434,-10.156551,68.44348,-9.017192,101.88633,-9.160036,82.3511,-10.055929,101.4709
194,All I want to Do,Ed Askew,3:12,661500.0,0.30724892,0.086106874,0.09645873,0.0032222506,1550.103892956066,241062.87388806528,1767.8114664507345,130749.50855068871,3091.897970382643,1138941.3311913114,0.07294929433533281,0.0008448798073277459,3.5615533e-06,0.009390803,-1.7380567e-05,0.0010102526,103.359375,-184.61212,9090.397,118.74083,623.68134,-26.510715,277.99106,29.065754,217.15616,-8.133182,130.02058,3.597651,82.53794,-12.242007,115.02714,-1.8428671,55.975334,-16.647686,95.32468,-5.9602127,63.702198,-12.992629,67.498,-2.8299315,56.351044,-8.447163,47.086834,-9.692306,59.1131,-8.830027,59.100098,-5.8702817,51.19733,-9.6730175,66.715485,-7.014012,71.3009,-7.9656644,116.18535,-7.151406,89.02917
